alg_name,trial_num,runtime,result,actual,diff,gamma,max_iters,ds_path
TraceTriangleR,0,120835,193371,59382,133989,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,1,247765,199770,59382,140388,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,2,287687,195058,59382,135676,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,3,219576,204654,59382,145272,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,4,238259,216096,59382,156714,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,5,194146,164236,59382,104854,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,6,252950,195000,59382,135618,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,7,263326,198159,59382,138777,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,8,209286,181414,59382,122032,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleR,9,231551,162437,59382,103055,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,0,176017,225800,59382,166418,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,1,172112,181748,59382,122366,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,2,240067,209681,59382,150299,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,3,341297,233863,59382,174481,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,4,221396,204809,59382,145427,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,5,201743,182849,59382,123467,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,6,171825,249241,59382,189859,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,7,238137,225944,59382,166562,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,8,262029,193410,59382,134028,1.0,,data/twitch/ES/musae_ES_edges.csv
TraceTriangleN,9,201569,193078,59382,133696,1.0,,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,0,33108,173021,59382,113639,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,1,39522,172330,59382,112948,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,2,37963,172422,59382,113040,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,3,40043,172432,59382,113050,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,4,42535,172383,59382,113001,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,5,24750,172496,59382,113114,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,6,41582,172866,59382,113484,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,7,21257,172678,59382,113296,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,8,30475,172286,59382,112904,,20,data/twitch/ES/musae_ES_edges.csv
EigenTriangle,9,34831,173163,59382,113781,,20,data/twitch/ES/musae_ES_edges.csv
SpectralCount,0,3108787,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
SpectralCount,1,2514488,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
SpectralCount,2,4790976,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
SpectralCount,3,4982853,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
SpectralCount,4,4089869,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
SpectralCount,5,5291045,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
SpectralCount,6,7094975,200144,59382,140762,,,data/twitch/ES/musae_ES_edges.csv
